sub,block,fixprob,leftval,rightval,cuedir,tgtloc,rew_av,cor_resp,resp,RT
301,1,2,1,2,2,2,1,2,2,0.949291
301,1,2,1,2,2,2,1,2,2,0.633260
301,1,2,2,1,2,2,0,2,2,0.766707
301,1,2,1,2,1,1,1,1,1,0.766681
301,1,2,2,1,2,2,1,2,2,0.616741
301,1,2,2,1,1,1,1,1,1,1.016565
301,1,2,2,1,2,2,1,1,1,0.983244
301,1,2,2,1,2,2,1,1,1,0.650075
301,1,2,2,1,2,2,1,2,2,0.533404
301,1,2,2,1,1,2,1,2,2,1.166488
301,1,2,2,1,2,2,1,2,2,0.600077
301,1,2,1,2,2,2,1,2,2,0.750011
301,1,2,2,1,1,1,1,1,1,0.683379
301,1,2,1,2,1,1,1,1,1,0.799991
301,1,2,1,2,1,1,0,2,2,0.916589
301,1,2,2,1,1,1,0,1,1,0.766681
301,1,2,1,2,2,2,1,2,2,0.550097
301,1,2,2,1,2,2,1,2,2,0.833309
301,1,2,1,2,2,2,1,2,1,0.866628
301,1,2,2,1,1,1,1,1,1,0.933271
301,1,2,1,2,1,1,0,1,1,0.933270
301,1,2,2,1,2,2,1,1,2,0.816652
301,1,2,2,1,2,2,1,2,2,0.783334
301,1,2,1,2,2,2,1,1,1,0.716689
301,1,2,2,1,2,2,1,2,2,0.566756
301,1,2,1,2,1,1,1,1,1,0.683296
301,1,2,2,1,1,1,0,2,2,0.650099
301,1,2,1,2,1,1,0,1,1,0.766677
301,1,2,1,2,1,1,1,1,1,0.633385
301,1,2,2,1,1,1,1,1,2,0.650093
301,1,2,2,1,1,1,1,1,1,0.650085
301,1,2,2,1,1,1,1,1,1,0.633334
301,1,2,1,2,1,1,1,2,2,0.716702
301,1,2,1,2,1,1,0,2,2,0.666709
301,1,2,1,2,1,1,1,1,1,0.600075
301,1,2,1,2,1,1,1,2,2,0.733416
301,1,2,2,1,2,2,1,2,2,0.883250
301,1,2,2,1,1,1,0,2,2,0.783324
