sub,onesN,fiftsN
301,36,37
301,38,39
301,35,37
301,35,37
301,40,40
301,35,36
301,38,39
301,38,40
301,38,40
301,36,38
301,40,40
301,39,38
301,38,39
301,39,38
301,35,40
301,36,39
301,40,39
301,39,40
301,38,39
301,40,40
302,38,37
302,35,36
302,35,36
302,37,39
302,31,37
302,35,38
302,31,38
302,36,38
302,34,37
302,34,40
302,33,38
302,28,39
302,33,38
302,36,40
302,32,39
302,30,37
302,36,39
302,35,39
302,35,38
302,33,37
303,27,30
303,27,31
303,33,39
303,38,38
303,36,38
303,37,37
303,36,34
303,38,40
303,36,39
303,38,39
303,39,39
303,37,37
303,35,38
303,34,35
303,35,37
303,38,38
303,38,40
303,38,40
303,34,37
303,34,37
304,38,40
304,39,40
304,39,40
304,39,40
304,38,38
304,40,38
304,39,38
304,40,39
304,40,40
304,37,39
304,40,40
304,39,39
304,39,39
304,38,40
304,38,38
304,38,40
304,39,40
304,40,40
304,39,40
304,39,39
305,26,32
305,34,37
305,34,37
305,35,36
305,31,35
305,35,36
305,30,33
305,38,38
305,37,37
305,36,37
305,34,38
305,32,35
305,38,34
305,29,36
305,33,34
305,34,36
305,29,31
305,34,36
305,33,39
305,31,35
306,34,36
306,37,39
306,35,39
306,28,33
306,34,36
306,31,36
306,28,35
306,34,40
306,35,38
306,34,35
306,36,38
306,33,34
306,38,39
306,35,36
306,33,38
306,38,38
306,33,39
306,38,38
306,35,37
306,34,39
307,35,37
307,35,32
307,38,35
307,35,37
307,37,39
307,37,33
307,35,36
307,36,35
307,37,36
307,37,38
307,34,35
307,39,30
307,34,33
307,39,39
307,36,36
307,40,38
307,38,38
307,38,34
307,39,36
307,36,40
308,38,37
308,37,36
308,35,38
308,32,35
308,30,30
308,38,37
308,37,35
308,29,27
308,35,36
308,35,38
308,39,37
308,31,29
308,38,39
308,38,37
308,33,35
308,37,39
308,30,33
308,39,38
308,38,38
308,36,35
309,35,31
309,34,36
309,35,37
309,36,35
309,27,34
309,35,34
309,32,31
309,37,39
309,38,38
309,36,35
309,34,35
309,39,39
309,27,33
309,37,39
309,37,35
309,39,37
309,28,33
309,39,37
309,37,39
309,38,36
310,35,35
310,34,38
310,37,35
310,36,36
310,31,36
310,35,38
310,34,33
310,37,36
310,35,34
310,35,36
310,34,37
310,37,34
310,35,36
310,38,35
310,29,38
310,36,37
310,32,34
310,36,36
310,38,38
310,37,35
311,34,32
311,27,22
311,34,35
311,34,35
311,33,36
311,34,37
311,29,31
311,34,36
311,36,37
311,28,36
311,38,36
311,28,37
311,30,36
311,32,37
311,27,34
311,32,37
311,35,28
311,38,37
311,30,37
311,28,35
312,31,35
312,36,31
312,31,32
312,37,34
312,36,37
312,39,37
312,37,37
312,40,40
312,39,38
312,35,38
312,39,38
312,37,40
312,38,38
312,38,36
312,37,33
312,37,40
312,32,38
312,39,40
312,37,39
312,37,38
313,36,34
313,35,34
313,39,38
313,39,40
313,36,33
313,38,36
313,37,36
313,39,38
313,38,40
313,36,39
313,40,38
313,39,36
313,39,40
313,39,40
313,38,36
313,39,38
313,35,38
313,39,40
313,38,39
313,35,37
314,38,35
314,39,36
314,31,36
314,32,36
314,38,37
314,38,37
314,36,33
314,39,39
314,38,39
314,37,38
314,39,38
314,35,34
314,37,40
314,37,35
314,37,40
314,40,39
314,37,37
314,40,37
314,39,38
314,37,36
315,30,31
315,29,28
315,36,37
315,37,38
315,34,35
315,40,36
315,33,36
315,27,39
315,33,39
315,26,38
315,33,36
315,30,37
315,27,38
315,22,33
315,34,39
315,39,40
315,38,40
315,39,40
315,38,38
315,39,40
316,38,39
316,39,38
316,40,40
316,39,40
316,40,39
316,39,40
316,39,39
316,39,39
316,40,40
316,40,39
316,38,40
316,38,39
316,39,40
316,39,38
316,39,40
316,40,40
316,40,39
316,40,39
316,36,40
316,39,40
317,37,40
317,36,39
317,36,36
317,39,36
317,39,36
317,39,38
317,39,40
317,40,40
317,38,39
317,39,35
317,39,39
317,38,38
317,40,38
317,38,40
317,38,39
317,39,40
317,37,40
317,38,39
317,39,39
317,40,39
318,39,38
318,39,37
318,39,38
318,40,40
318,40,39
318,38,40
318,39,40
318,38,40
318,39,37
318,40,39
318,40,40
318,40,40
318,40,40
318,39,39
318,37,40
318,40,39
318,40,40
318,40,40
318,40,40
318,39,39
320,35,36
320,30,37
320,36,35
320,25,37
320,26,35
320,26,38
320,29,35
320,30,38
320,28,38
320,26,35
320,28,37
320,31,40
320,31,38
320,31,40
320,29,38
320,31,38
320,33,37
320,31,37
320,24,35
320,18,38
321,30,34
321,34,35
321,33,29
321,32,33
321,33,33
321,35,31
321,35,32
321,36,38
321,37,36
321,34,37
321,37,34
321,35,40
321,38,37
321,34,37
321,36,40
321,36,38
321,36,40
321,38,37
321,36,37
321,37,38
323,38,36
323,38,39
323,35,39
323,38,39
323,38,40
323,40,39
323,39,38
323,36,36
323,35,40
323,40,38
323,33,39
323,31,37
323,38,37
323,34,39
323,36,39
323,35,40
323,38,40
323,33,39
323,37,38
323,36,39
