sub,block,fixprob,leftval,rightval,cuedir,tgtloc,rew_av,cor_resp,resp,RT,rec
501,1,3,1,2,1,1,1,2,1,0.666214,0
501,1,3,1,2,2,2,1,1,2,0.783315,0
501,1,3,2,1,2,1,1,2,2,0.949938,100
501,1,3,1,2,2,2,1,2,NaN,NaN,0
501,1,3,2,1,2,2,1,2,2,0.799934,5000
501,1,3,1,2,1,1,0,1,1,0.666817,NaN
501,1,3,1,2,2,2,1,2,2,0.650061,100
501,1,3,2,1,2,2,1,1,1,0.666780,5000
501,1,3,2,1,2,2,1,2,2,0.566776,5000
501,1,3,1,2,1,1,1,2,1,0.799963,0
501,1,3,1,2,1,1,0,2,1,0.750028,0
501,1,3,2,1,1,1,1,1,NaN,NaN,0
501,1,3,1,2,2,2,0,2,2,0.899426,NaN
501,1,3,2,1,1,2,1,2,2,0.583483,5000
501,1,3,2,1,2,2,1,1,1,0.733325,5000
501,1,3,1,2,1,2,1,2,2,0.650089,100
501,1,3,1,2,2,1,1,1,1,0.650044,5000
501,1,3,2,1,2,1,1,2,2,0.733359,100
501,1,3,1,2,2,1,0,1,1,0.633391,NaN
501,1,3,2,1,1,1,1,1,1,0.666719,100
501,1,3,2,1,2,2,1,2,2,0.533427,5000
501,1,3,2,1,2,2,0,2,2,0.500140,NaN
501,1,3,2,1,1,1,0,1,1,0.500401,NaN
501,1,3,2,1,2,1,0,2,1,0.899962,0
501,1,3,1,2,1,1,1,1,1,0.550120,5000
501,1,3,2,1,2,2,0,2,2,0.566775,NaN
501,1,3,1,2,1,2,1,2,1,0.700132,0
501,1,3,1,2,2,2,1,1,1,0.766877,100
501,1,3,1,2,1,1,1,1,1,0.616766,5000
501,1,3,2,1,1,2,1,1,1,0.733330,5000
501,1,3,1,2,1,2,1,2,2,0.600099,100
501,1,3,2,1,1,1,1,2,2,0.816672,100
501,1,3,1,2,1,2,1,1,2,0.750034,0
501,1,3,2,1,2,2,1,2,2,0.650088,5000
501,1,3,2,1,2,2,1,1,2,0.616760,0
501,1,3,1,2,2,2,1,2,2,0.583407,100
501,1,3,1,2,2,2,1,1,1,0.583462,100
501,1,3,2,1,2,2,0,2,2,0.566743,NaN
501,1,3,2,1,1,1,0,1,1,0.616765,NaN
501,1,3,2,1,1,1,1,1,1,0.616724,100
501,1,3,2,1,2,1,1,2,1,0.716694,0
501,1,3,1,2,1,1,1,2,2,0.583440,5000
501,1,3,2,1,1,1,1,1,1,0.733371,100
501,1,3,2,1,2,1,1,1,1,0.616778,100
501,1,3,2,1,1,1,1,2,1,0.550048,0
501,1,3,2,1,2,2,1,1,1,0.750093,5000
501,1,3,2,1,2,2,1,2,2,0.633414,5000
501,1,3,2,1,1,1,1,2,1,0.766638,0
501,1,3,2,1,1,1,0,2,2,0.833317,NaN
501,1,3,2,1,2,2,1,2,2,0.600165,5000
501,1,3,2,1,1,2,1,1,NaN,NaN,0
501,1,3,2,1,2,2,0,2,2,0.866131,NaN
501,1,3,2,1,1,1,1,1,1,0.550091,100
501,1,3,1,2,2,2,1,1,1,0.683451,100
501,1,3,2,1,2,1,1,2,2,1.033224,100
501,1,3,2,1,2,2,1,1,2,0.733384,0
501,1,3,2,1,1,1,1,1,1,0.700045,100
501,1,3,2,1,2,2,1,1,1,0.633496,5000
501,1,3,1,2,1,1,1,1,1,0.517071,5000
501,1,3,1,2,2,2,1,2,2,0.583410,100
501,1,3,1,2,2,2,1,2,NaN,NaN,0
501,1,3,2,1,1,1,1,1,1,0.616747,100
501,1,3,1,2,2,2,1,1,1,0.583425,100
501,1,3,1,2,1,1,0,2,2,0.783355,NaN
501,1,3,1,2,2,1,1,1,1,0.566790,5000
501,1,3,2,1,2,2,1,1,1,0.516788,5000
501,1,3,2,1,2,2,1,2,2,0.533433,5000
501,1,3,2,1,2,2,1,1,1,0.550086,5000
501,1,3,2,1,2,2,1,1,1,0.550118,5000
