"","sub",".4/.6_high_valid_static",".4/.6_high_valid_decay",".4/.6_high_invalid_static",".4/.6_high_invalid_decay",".4/.6_low_valid_static",".4/.6_low_valid_decay",".4/.6_low_invalid_static",".4/.6_low_invalid_decay",".2/.8_high_valid_static",".2/.8_high_valid_decay",".2/.8_high_invalid_static",".2/.8_high_invalid_decay",".2/.8_low_valid_static",".2/.8_low_valid_decay",".2/.8_low_invalid_static",".2/.8_low_invalid_decay"
"1","501",0.766666666666667,0.735849056603774,0.775,0.842105263157895,0.866666666666667,0.872727272727273,0.75,0.942857142857143,0.8375,0.7375,0.8,0.65,0.8125,0.6625,0.65,0.65
"2","502",0.931034482758621,0.816666666666667,0.974358974358974,0.825,0.931034482758621,0.766666666666667,0.717948717948718,0.65,0.775,0.6875,0.6,0.65,0.65,0.7,0.75,0.45
"3","503",0.933333333333333,0.783333333333333,0.925,0.875,0.95,0.816666666666667,0.875,0.825,0.975,0.816901408450704,1,0.933333333333333,0.9625,0.835820895522388,1,0.875
"4","504",0.883333333333333,0.916666666666667,0.9,0.85,0.866666666666667,0.85,0.875,0.875,0.934210526315789,0.9,1,0.95,0.945945945945946,0.8875,0.894736842105263,0.75
"5","505",0.916666666666667,0.847457627118644,0.9,0.6,0.85,0.847457627118644,0.975,0.692307692307692,0.897435897435897,0.7625,0.95,0.35,0.8875,0.6375,0.9,0.5
"6","506",0.893617021276596,0.903846153846154,0.939393939393939,0.942857142857143,0.8125,0.803921568627451,0.766666666666667,0.794871794871795,0.9375,0.838235294117647,0.8,0.736842105263158,0.7875,0.794117647058823,0.7,0.823529411764706
"7","507",0.933333333333333,0.982142857142857,0.875,0.941176470588235,0.933333333333333,0.931034482758621,0.85,0.973684210526316,0.918918918918919,0.935064935064935,0.9,1,1,0.902777777777778,1,1
"8","508",0.983333333333333,0.866666666666667,0.925,0.75,0.949152542372881,0.933333333333333,0.825,0.95,0.9375,0.911392405063291,0.85,0.85,0.9125,0.975,0.8,1
"9","509",0.925925925925926,0.916666666666667,0.918918918918919,0.825,0.928571428571429,0.916666666666667,0.918918918918919,0.85,0.986486486486487,0.918918918918919,0.842105263157895,0.833333333333333,0.959459459459459,0.891891891891892,0.95,0.833333333333333
"10","510",0.945454545454545,0.846153846153846,0.945945945945946,0.694444444444444,0.754716981132076,0.730769230769231,0.897435897435897,0.5,0.8375,0.7,0.8,0.777777777777778,0.75,0.757142857142857,0.65,0.684210526315789
"11","511",0.85,0.933333333333333,0.975,0.9,0.933333333333333,0.933333333333333,0.95,0.9,0.961538461538462,0.9,0.95,0.85,0.974358974358974,0.9875,0.85,0.75
"12","512",0.966666666666667,0.961538461538462,0.975,0.947368421052632,1,1,0.95,0.942857142857143,0.9625,0.9125,1,1,0.95,0.85,0.95,0.85
"13","513",0.982758620689655,0.927272727272727,0.861111111111111,0.942857142857143,0.92156862745098,0.961538461538462,1,0.971428571428571,1,0.8875,0.894736842105263,0.85,0.972972972972973,0.9125,1,0.9
"14","514",0.85,0.842105263157895,0.9,0.973684210526316,0.916666666666667,0.842105263157895,0.825,0.8,0.886075949367089,0.82051282051282,0.947368421052632,0.85,0.922077922077922,0.894736842105263,0.9,0.611111111111111
"15","515",0.892857142857143,0.905660377358491,0.944444444444444,0.818181818181818,1,0.839285714285714,0.916666666666667,0.82051282051282,0.875,0.943661971830986,0.65,0.75,0.875,0.901408450704225,0.6,0.894736842105263
"16","516",0.927272727272727,0.933333333333333,1,0.95,0.945454545454545,0.883333333333333,0.842105263157895,0.875,1,0.9,0.882352941176471,1,0.960526315789474,0.888888888888889,0.947368421052632,0.882352941176471
"17","517",0.75,0.771929824561403,0.925,0.82051282051282,0.833333333333333,0.648148148148148,0.75,0.742857142857143,0.7,0.8,0.7,0.85,0.8,0.75,0.85,0.85
"18","518",0.520833333333333,0.65,0.75,0.4,0.581818181818182,0.65,0.757575757575758,0.45,0.753623188405797,0.681159420289855,0.733333333333333,0.647058823529412,0.621212121212121,0.753623188405797,0.733333333333333,0.529411764705882
"19","519",0.916666666666667,0.95,0.95,0.95,0.966666666666667,0.883333333333333,0.975,0.9,0.955223880597015,0.9375,0.947368421052632,0.95,0.956521739130435,0.85,0.85,0.95
"20","520",1,0.892857142857143,0.948717948717949,0.974358974358974,0.966666666666667,0.932203389830508,1,0.861111111111111,0.9875,0.922077922077922,0.95,0.944444444444444,0.9375,0.974025974025974,1,1
"21","521",0.983333333333333,0.833333333333333,0.95,0.75,0.95,0.883333333333333,0.875,0.7,0.9625,0.88,1,0.764705882352941,1,0.841269841269841,1,0.736842105263158
"22","522",0.833333333333333,0.8,0.575,0.475,0.866666666666667,0.733333333333333,0.6,0.575,0.886075949367089,0.9375,0.6,0.85,0.8625,0.7375,0.55,0.75
"23","523",0.865384615384615,0.816666666666667,0.864864864864865,0.825,0.914893617021277,0.9,0.857142857142857,0.775,0.8125,0.775,0.7,0.5,0.8625,0.875,0.75,0.55
"24","524",0.933333333333333,0.846153846153846,0.95,0.9375,0.916666666666667,0.9,0.875,0.846153846153846,0.975,0.975,0.95,0.65,0.95,0.875,0.9,0.7
"25","525",0.916666666666667,0.932203389830508,0.975,0.947368421052632,0.983333333333333,0.96551724137931,0.95,0.95,0.9875,0.95,0.95,0.85,0.975,0.975,0.9,0.95
"26","526",0.918367346938776,0.95,0.666666666666667,0.95,0.865384615384615,0.933333333333333,0.612903225806452,0.8,0.95,0.8375,0.6,0.4,0.9,0.7875,0.5,0.4
